Carrier,Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
,2015,1274,109648,197470,55.5,86.06593406593407,155,530.5094191522763,430.5043958850139,44590000,0,0,360,18504,55800,33.2,51.4,155,723.9444444444445,702.6778534370947,12600000,0,0,458,46366,70990,65.3,101.235807860262,155,446.8165938864629,445.6513177759565,16030000,0,0,456,44778,70680,63.4,98.19736842105263,155,461.8574561403509,302.3477153959533,15960000,0,0
,2016,1931,27894,59879,46.6,14.44536509580528,31.00932159502848,288.94510616261,281.3766042876604,21241000,0,0,1931,27894,59879,46.6,14.44536509580528,31.00932159502848,288.94510616261,281.3766042876604,21241000,0,0,,,,,,,,,,,,,,,,,,,,,,
,2017,4118,75380,135701,55.5,18.30500242836328,32.95313258863526,282.412821758135,279.7988989121783,45298000,0,0,4118,75380,135701,55.5,18.30500242836328,32.95313258863526,282.412821758135,279.7988989121783,45298000,0,0,,,,,,,,,,,,,,,,,,,,,,
,2018,7057,137265,226684,60.6,19.45089981578575,32.12186481507723,283.284965282698,286.7074490948166,78755600,0,0,7031,136773,225064,60.8,19.4528516569478,32.01024036410183,282.0028445455839,284.7194256176292,78328600,0,0,13,245,810,30.2,18.84615384615385,62.30769230769231,595.8461538461538,784.0408163265306,213500,0,0,13,247,810,30.5,19,62.30769230769231,664.1538461538462,894.2429149797571,213500,0,0
,2019,19790,445492,593700,75,22.51096513390601,30,325.8126831733198,326.6494302927999,118740000,0,0,19790,445492,593700,75,22.51096513390601,30,325.8126831733198,326.6494302927999,118740000,0,0,,,,,,,,,,,,,,,,,,,,,,
,2020,11939,225220,358170,62.9,18.8642264846302,30,332.4956026467879,335.4754373501465,71634000,0,0,11939,225220,358170,62.9,18.8642264846302,30,332.4956026467879,335.4754373501465,71634000,0,0,,,,,,,,,,,,,,,,,,,,,,
,2021,19997,383820,599910,64,19.19387908186228,30,306.9393409011352,304.6030743577718,119982000,0,0,19989,383663,599670,64,19.19370653859623,30,306.6856771224173,304.3428321208978,119934000,0,0,4,85,120,70.8,21.25,30,940.75,946,24000,0,0,4,72,120,60,18,30,940.75,934.1388888888889,24000,0,0
,2022,750,3249,5880,55.3,4.332,7.84,209.728,210.5964912280702,2828400,0,0,750,3249,5880,55.3,4.332,7.84,209.728,210.5964912280702,2828400,0,0,,,,,,,,,,,,,,,,,,,,,,
1263343 Alberta Inc. d/b/a Lynx Air,2023,1923,207109,363447,57,107.7009880395216,189,1371.803952158086,1373.225798975419,293180580,0,0,,,,,,,,,,,,961,104659,181629,57.6,108.9063475546306,189,1371.245577523413,1363.827095615284,146514060,0,0,962,102450,181818,56.3,106.4968814968815,189,1372.361746361746,1382.827154709614,146666520,0,0
1263343 Alberta Inc. d/b/a Lynx Air,2024,507,54275,95823,56.6,107.0512820512821,189,1465.094674556213,1481.022865039153,77297220,0,0,,,,,,,,,,,,252,27253,47628,57.2,108.1468253968254,189,1464.670634920635,1465.290903753715,38419920,0,0,255,27022,48195,56.1,105.9686274509804,189,1465.513725490196,1496.889312412109,38877300,0,0
