Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
2014,10312315,868276743,1069589516,81.2,84.19804311640985,103.719631915821,919.9781807479698,1409.941782934522,351533942768,43988218345,1205245319,8731218,676358658,829145827,81.6,77.46441080728943,94.96336330166078,667.9925664437653,883.6184425778431,256581198821,24066383578,948015406,791227,95693442,120341795,79.5,120.9430947123898,152.0951572683945,2316.859904932466,3255.396867060127,47455879518,8577403692,172177564,789870,96224643,120101894,80.1,121.8233924569866,152.0527352602327,2306.143999645511,3274.177320824147,47496864429,11344431075,85052349
2015,10312239,911848492,1114326663,81.8,88.42390988028885,108.0586537026537,950.917217589701,1428.68195564006,367878391819,44565177047,1351920769,8689086,707749198,858763401,82.4,81.45266349072848,98.83242046401658,685.5173272539828,893.8288134902274,266544363143,24621964272,1118476992,811866,101668755,127797427,79.6,125.2284921403286,157.4119706946713,2375.228689217186,3274.957135188682,50502540756,8269366086,145283756,811287,102430539,127765835,80.2,126.2568474534906,157.4853720076865,2368.088224019367,3291.733594099314,50831487920,11673846689,88160021
2016,10508893,946331968,1166508241,81.1,90.05058553741102,111.0020095361138,970.4731662031386,1455.207944046756,386714027176,45594203890,1251492202,8829635,730902303,896522281,81.5,82.77831450563924,101.5355992631632,696.6876526606139,905.702250083073,279618455277,25455595958,1032280317,840120,107293100,134992241,79.5,127.7116364328905,160.6820942246346,2411.679626719992,3311.066976366607,53285871622,8164684169,127211010,839138,108136565,134993719,80.1,128.8662472680298,160.8718935383691,2408.424708450815,3327.970487309265,53809700277,11973923763,92000875
2017,10575007,979557158,1205822495,81.2,92.62945717199052,114.0256923707001,992.962030947119,1469.822262447293,402988710105,49381388353,1425845215,8848628,752580029,922610756,81.6,85.05047663886424,104.2659671081212,708.8858469358188,911.4646106241546,292118464430,27026425593,1203413997,863194,113157772,141613627,79.9,131.0919353007551,164.0577054520768,2447.07798710371,3312.837337995662,54940299621,8895074154,127967286,863185,113819357,141598112,80.4,131.8597484896054,164.0414418693559,2450.934895763944,3329.412262502941,55929946054,13459888606,94463932
2018,10877895,1027166772,1258418943,81.6,94.42697985226002,115.6858880325651,1006.744864884245,1481.232027072426,413191860538,51598865581,1406240739,9093670,787923485,963489168,81.8,86.6452691817495,105.9516309696745,719.8384943592631,917.4161489931982,298056089954,28071567257,1190330614,892115,119447881,147457870,81,133.8929185138687,165.2902036172466,2468.70284100144,3333.536602252492,57080533763,9429873120,122898464,892110,119795406,147471905,81.2,134.2832229209402,165.3068623824416,2469.341646209548,3342.654952444504,58055236821,14097425204,93011661
2019,11133317,1065359407,1294958937,82.3,95.69110508575297,116.3138476161238,1005.07955284126,1478.697301330536,426516853995,50696474430,1385113418,9325914,821070954,997539484,82.3,88.04187493043577,106.9642593744699,723.6014503243329,919.5308024390301,310753938457,28470151938,1178175611,903122,121892763,148669030,82,134.9682135968341,164.6167738135047,2458.62972776657,3352.491649114558,57381152091,8735892054,112581432,904281,122395690,148750423,82.3,135.3513896675923,164.4957961076258,2456.295973264947,3363.677077534348,58381763447,13490430438,94356375
2020,6709666,405736929,710439185,57.1,60.47051060365747,105.8829433536632,944.265025114514,1225.559027835004,285874925231,52257808871,1333652730,5936974,341647940,603002065,56.7,57.54580363666744,101.5672403146788,717.2360746400439,896.3656138655483,219570615230,31027575930,1193938689,384813,31989931,53569885,59.7,83.13110783679346,139.2101748121815,2691.498982622728,2965.850696551987,32524873512,8050460550,85535367,387879,32099058,53867235,59.6,82.75533864942417,138.8763892863496,2685.804616903725,2994.970495987764,33779436489,13179772391,54178674
2021,8621244,708730044,963657715,73.5,82.20739883942503,111.777107224897,969.893520123082,1147.762413747765,357793155073,58308913462,1482232881,7564057,613365424,809576757,75.8,81.0894767186445,107.0294363196893,750.5370551808375,934.8650370549742,276188741063,32780508125,1360215462,527966,46993429,77019909,61,89.00843804335885,145.8804335885265,2544.578224734169,2507.141298605811,40223645195,9777830134,77867852,529221,48371191,77061049,62.8,91.40073995551953,145.6122281617698,2534.164060005177,2526.7240071058,41380768815,15750575203,44149567
2022,9719146,949607558,1176032712,80.7,97.70483517790555,121.0016509680995,1019.349425659415,1349.497320166653,410003865529,55328265669,1448363603,8223593,760135414,932713175,81.5,92.43349154074137,113.4191800348096,751.3547384944756,932.7507589877927,304478464262,30578468125,1338497688,747023,94476432,121604364,77.7,126.4705798884372,162.7853011219199,2493.264726788867,3013.813451835268,52283799678,9491925752,62536228,748530,94995712,121715173,78,126.9096923303007,162.6056043177962,2492.677954123415,3028.995969270697,53241601589,15257871792,47329687
2023,10256972,1066858498,1316362263,81,104.0130067626196,128.3382915542716,1049.832293975259,1431.256671728738,436908847218,51781947136,951060295,8567769,829148978,1026257651,80.8,96.77536567570857,119.7811998666164,760.5486118965159,932.9205026120168,319230135486,28094375677,838167877,843840,118271846,145031120,81.5,140.1590894008343,171.8704019719378,2519.051051147137,3158.678813722076,58243393650,8606210865,64513741,845363,119437674,145073492,82.3,141.2856654478609,171.6108843183343,2515.155720087111,3180.198297707974,59435318082,15081360594,48378677
