B,T,rho,delta,p_pos,cvar_floor,cvar_online,prize_total_pct,prize_total_abs
3,8,0.5,1.46,0.1875,0.084873,0.084873,0.0,0.0
3,8,0.75,1.46,0.28125,1.270646,1.270646,0.0,0.0
3,8,1.0,1.46,0.375,2.704591,2.993431,9.6491,0.28884
3,8,1.25,1.46,0.46875,3.483957,4.668715,25.3765,1.184758
3,8,1.5,1.46,0.5625,5.688833,6.920293,17.7949,1.231459
3,8,1.75,1.46,0.65625,7.974639,9.389234,15.0661,1.414595
3,8,2.0,1.46,0.75,9.316909,10.966866,15.0449,1.649958
3,8,2.25,1.46,0.84375,11.107167,11.994237,7.3958,0.88707
3,10,0.5,1.46,0.15,0.015808,0.015808,-0.0,-0.0
3,10,0.75,1.46,0.225,1.201718,1.201718,0.0,0.0
3,10,1.0,1.46,0.3,2.519287,2.741784,8.115,0.222497
3,10,1.25,1.46,0.375,3.438048,4.43906,22.5501,1.001012
3,10,1.5,1.46,0.45,5.336261,6.265691,14.8336,0.92943
3,10,1.75,1.46,0.525,7.205691,8.826985,18.3675,1.621295
3,10,2.0,1.46,0.6,8.712612,10.511033,17.1098,1.798421
3,10,2.25,1.46,0.675,10.482197,11.62999,9.8693,1.147793
3,10,2.5,1.46,0.75,12.214377,13.007264,6.0957,0.792887
3,12,0.5,1.46,0.125,0.0,0.0,0.0,0.0
3,12,0.75,1.46,0.1875,1.155973,1.155973,0.0,0.0
3,12,1.0,1.46,0.25,2.395189,2.578182,7.0978,0.182993
3,12,1.25,1.46,0.3125,3.156146,4.287242,26.3828,1.131096
3,12,1.5,1.46,0.375,4.996841,5.948163,15.9935,0.951322
3,12,1.75,1.46,0.4375,6.899229,8.446142,18.315,1.546913
3,12,2.0,1.46,0.5,8.435426,10.192581,17.2395,1.757155
3,12,2.25,1.46,0.5625,9.665163,11.370446,14.9975,1.705282
3,12,2.5,1.46,0.625,11.681149,12.273856,4.829,0.592707
3,16,0.5,1.46,0.09375,0.0,0.0,0.0,0.0
3,16,0.75,1.46,0.140625,1.099096,1.099096,0.0,0.0
3,16,1.0,1.46,0.1875,2.239791,2.428407,7.7671,0.188616
3,16,1.25,1.46,0.234375,2.891879,4.099147,29.4517,1.207268
3,16,1.5,1.46,0.28125,4.644627,5.568436,16.5901,0.923808
3,16,1.75,1.46,0.328125,6.387172,8.0157,20.3167,1.628527
3,16,2.0,1.46,0.375,8.002102,9.8021,18.3634,1.799998
3,16,2.25,1.46,0.421875,9.094007,11.029246,17.5464,1.93524
3,16,2.5,1.46,0.46875,10.744464,11.894878,9.6715,1.150414
3,20,0.5,1.46,0.075,0.0,0.0,0.0,0.0
3,20,0.75,1.46,0.1125,1.065156,1.065156,-0.0,-0.0
3,20,1.0,1.46,0.15,2.146533,2.353694,8.8016,0.207162
3,20,1.25,1.46,0.1875,2.80408,3.987253,29.6739,1.183174
3,20,1.5,1.46,0.225,4.347874,5.357314,18.8423,1.00944
3,20,1.75,1.46,0.2625,6.061886,7.748779,21.7698,1.686894
3,20,2.0,1.46,0.3,7.733885,9.579707,19.268,1.845822
3,20,2.25,1.46,0.3375,8.941885,10.845866,17.5549,1.903981
3,20,2.5,1.46,0.375,10.326821,11.731272,11.9719,1.404452
4,8,0.5,1.46,0.25,0.981419,0.981419,-0.0,-0.0
4,8,0.75,1.46,0.375,2.982349,2.993431,0.3702,0.011082
4,8,1.0,1.46,0.5,5.744865,5.924695,3.0353,0.17983
4,8,1.25,1.46,0.625,8.883185,9.771542,9.0913,0.888357
4,8,1.5,1.46,0.75,11.053195,12.750239,13.3099,1.697044
4,8,1.75,1.46,0.875,13.683741,14.243721,3.9314,0.55998
4,10,0.5,1.46,0.2,0.909336,0.909336,0.0,0.0
4,10,0.75,1.46,0.3,2.720903,2.741784,0.7616,0.020881
4,10,1.0,1.46,0.4,5.178082,5.519209,6.1807,0.341127
