B,T,rho,cvar_floor,cvar_sameinfo,cvar_online,prize_total_pct,prize_cvar_pct,prize_total_abs
4,8,1.0,5.744865038626543,5.744865038626543,5.9246945967524205,3.03525447918362,3.03525447918362,0.17982955812587775
4,10,1.25,8.21478148633227,8.180234387418764,8.961500184299371,8.332518915475317,8.718024670126011,0.7467186979671006
4,12,1.5,10.007678519714833,9.99954109111757,11.709873777601324,14.536409958085576,14.60590198465916,1.7021952578864905
4,14,1.75,11.535284366584817,11.532847273842872,13.295863531951364,13.241555624692518,13.259885331041321,1.760579165366547
4,16,2.0,13.764445892887464,13.753086352307884,15.014042423677612,8.32285200433093,8.398511445399683,1.2495965307901482
3,6,1.0,3.0089314471482265,nan,3.431479522611697,12.313874312205408,nan,0.4225480754634705
3,9,1.5,5.605078196011643,nan,6.555418139428527,14.497014884541452,nan,0.9503399434168838
3,12,2.0,8.435425939446702,nan,10.192580515420506,17.239545700084275,nan,1.7571545759738036
5,10,1.0,9.333650305199992,nan,9.477241716100181,1.5151181662513942,nan,0.14359141090018923
5,15,1.5,14.090008826183634,nan,15.487519571808448,9.023463952024109,nan,1.397510745624814
5,20,2.0,19.38608077892977,nan,21.24008369364007,8.728792887315434,nan,1.8540029147102999
