rho,rho_regime,R,alpha,delta,p_filler,p_mid,B,floor,online,prize,prize_pct
1.25,tight,"(0, 2, 10)",0.1,1.0,0.5,0.3,4,5.198095,6.43125,1.233155,19.1744
1.25,tight,"(0, 2, 10)",0.1,1.0,0.4,0.2,5,17.425878,18.822556,1.396678,7.4202
1.25,tight,"(0, 2, 10)",0.1,1.0,0.6,0.35,3,3.011546,3.052697,0.041151,1.348
1.25,tight,"(0, 2, 10)",0.1,1.46,0.5,0.3,4,4.837424,6.178317,1.340893,21.7032
1.25,tight,"(0, 2, 10)",0.1,1.46,0.4,0.2,5,15.247673,16.381867,1.134194,6.9235
1.25,tight,"(0, 2, 10)",0.1,1.46,0.6,0.35,3,3.002448,3.043879,0.041431,1.3611
1.25,tight,"(0, 2, 10)",0.1,2.0,0.5,0.3,4,4.383831,5.600587,1.216755,21.7255
1.25,tight,"(0, 2, 10)",0.1,2.0,0.4,0.2,5,11.038354,12.40727,1.368916,11.0332
1.25,tight,"(0, 2, 10)",0.1,2.0,0.6,0.35,3,2.982578,3.02462,0.042041,1.39
1.25,tight,"(0, 2, 10)",0.1,3.0,0.5,0.3,4,3.618679,4.488279,0.8696,19.3749
1.25,tight,"(0, 2, 10)",0.1,3.0,0.4,0.2,5,7.19633,8.099046,0.902716,11.146
1.25,tight,"(0, 2, 10)",0.1,3.0,0.6,0.35,3,2.94613,2.989289,0.04316,1.4438
1.25,tight,"(0, 2, 10)",0.2,1.0,0.5,0.3,4,8.734722,9.570507,0.835785,8.7329
1.25,tight,"(0, 2, 10)",0.2,1.0,0.4,0.2,5,21.756343,22.7959,1.039557,4.5603
1.25,tight,"(0, 2, 10)",0.2,1.0,0.6,0.35,3,3.505773,4.187274,0.681501,16.2755
1.25,tight,"(0, 2, 10)",0.2,1.46,0.5,0.3,4,8.214781,8.9615,0.746719,8.3325
1.25,tight,"(0, 2, 10)",0.2,1.46,0.4,0.2,5,19.496043,20.858903,1.362859,6.5337
1.25,tight,"(0, 2, 10)",0.2,1.46,0.6,0.35,3,3.501224,4.172819,0.671595,16.0945
1.25,tight,"(0, 2, 10)",0.2,2.0,0.5,0.3,4,7.070609,7.851922,0.781313,9.9506
1.25,tight,"(0, 2, 10)",0.2,2.0,0.4,0.2,5,16.106749,17.39627,1.289521,7.4126
1.25,tight,"(0, 2, 10)",0.2,2.0,0.6,0.35,3,3.491289,4.141262,0.649973,15.695
1.25,tight,"(0, 2, 10)",0.2,3.0,0.5,0.3,4,5.327545,6.224853,0.897308,14.4149
1.25,tight,"(0, 2, 10)",0.2,3.0,0.4,0.2,5,10.991872,12.078822,1.08695,8.9988
1.25,tight,"(0, 2, 10)",0.2,3.0,0.6,0.35,3,3.473065,4.083426,0.610361,14.9473
1.25,tight,"(0, 2, 10)",0.3,1.0,0.5,0.3,4,10.55426,11.713671,1.159411,9.8979
1.25,tight,"(0, 2, 10)",0.3,1.0,0.4,0.2,5,25.006119,26.359556,1.353438,5.1345
1.25,tight,"(0, 2, 10)",0.3,1.0,0.6,0.35,3,4.241157,4.791516,0.55036,11.4861
1.25,tight,"(0, 2, 10)",0.3,1.46,0.5,0.3,4,10.143188,11.307667,1.164479,10.2981
1.25,tight,"(0, 2, 10)",0.3,1.46,0.4,0.2,5,23.309292,24.537725,1.228433,5.0063
1.25,tight,"(0, 2, 10)",0.3,1.46,0.6,0.35,3,4.229125,4.78188,0.552755,11.5594
1.25,tight,"(0, 2, 10)",0.3,2.0,0.5,0.3,4,9.368196,10.403919,1.035723,9.9551
1.25,tight,"(0, 2, 10)",0.3,2.0,0.4,0.2,5,19.708702,20.758956,1.050255,5.0593
1.25,tight,"(0, 2, 10)",0.3,2.0,0.6,0.35,3,4.202864,4.760842,0.557977,11.7201
1.25,tight,"(0, 2, 10)",0.3,3.0,0.5,0.3,4,7.883095,8.700737,0.817642,9.3974
1.25,tight,"(0, 2, 10)",0.3,3.0,0.4,0.2,5,14.571931,15.746305,1.174374,7.4581
1.25,tight,"(0, 2, 10)",0.3,3.0,0.6,0.35,3,4.154761,4.722284,0.567523,12.018
1.25,tight,"(0, 3, 15)",0.1,1.0,0.5,0.3,4,7.797142,9.646875,1.849733,19.1744
1.25,tight,"(0, 3, 15)",0.1,1.0,0.4,0.2,5,26.138817,28.233833,2.095016,7.4202
1.25,tight,"(0, 3, 15)",0.1,1.0,0.6,0.35,3,4.517319,4.579045,0.061726,1.348
1.25,tight,"(0, 3, 15)",0.1,1.46,0.5,0.3,4,7.256137,9.267476,2.011339,21.7032
1.25,tight,"(0, 3, 15)",0.1,1.46,0.4,0.2,5,22.87151,24.572801,1.701291,6.9235
1.25,tight,"(0, 3, 15)",0.1,1.46,0.6,0.35,3,4.503673,4.565818,0.062146,1.3611
1.25,tight,"(0, 3, 15)",0.1,2.0,0.5,0.3,4,6.575747,8.40088,1.825133,21.7255
1.25,tight,"(0, 3, 15)",0.1,2.0,0.4,0.2,5,16.557532,18.610906,2.053374,11.0332
1.25,tight,"(0, 3, 15)",0.1,2.0,0.6,0.35,3,4.473868,4.53693,0.063062,1.39
1.25,tight,"(0, 3, 15)",0.1,3.0,0.5,0.3,4,5.428018,6.732418,1.3044,19.3749
1.25,tight,"(0, 3, 15)",0.1,3.0,0.4,0.2,5,10.794495,12.14857,1.354075,11.146
1.25,tight,"(0, 3, 15)",0.1,3.0,0.6,0.35,3,4.419195,4.483934,0.064739,1.4438
1.25,tight,"(0, 3, 15)",0.2,1.0,0.5,0.3,4,13.102083,14.35576,1.253677,8.7329
1.25,tight,"(0, 3, 15)",0.2,1.0,0.4,0.2,5,32.634515,34.19385,1.559335,4.5603
1.25,tight,"(0, 3, 15)",0.2,1.0,0.6,0.35,3,5.258659,6.280912,1.022252,16.2755
1.25,tight,"(0, 3, 15)",0.2,1.46,0.5,0.3,4,12.322172,13.44225,1.120078,8.3325
1.25,tight,"(0, 3, 15)",0.2,1.46,0.4,0.2,5,29.244065,31.288354,2.044289,6.5337
1.25,tight,"(0, 3, 15)",0.2,1.46,0.6,0.35,3,5.251836,6.259229,1.007393,16.0945
1.25,tight,"(0, 3, 15)",0.2,2.0,0.5,0.3,4,10.605913,11.777883,1.17197,9.9506
1.25,tight,"(0, 3, 15)",0.2,2.0,0.4,0.2,5,24.160123,26.094405,1.934281,7.4126
1.25,tight,"(0, 3, 15)",0.2,2.0,0.6,0.35,3,5.236934,6.211894,0.97496,15.695
1.25,tight,"(0, 3, 15)",0.2,3.0,0.5,0.3,4,7.991318,9.337279,1.345961,14.4149
1.25,tight,"(0, 3, 15)",0.2,3.0,0.4,0.2,5,16.487808,18.118234,1.630426,8.9988
1.25,tight,"(0, 3, 15)",0.2,3.0,0.6,0.35,3,5.209597,6.125138,0.915541,14.9473
1.25,tight,"(0, 3, 15)",0.3,1.0,0.5,0.3,4,15.831389,17.570507,1.739117,9.8979
1.25,tight,"(0, 3, 15)",0.3,1.0,0.4,0.2,5,37.509178,39.539335,2.030156,5.1345
1.25,tight,"(0, 3, 15)",0.3,1.0,0.6,0.35,3,6.361735,7.187274,0.82554,11.4861
1.25,tight,"(0, 3, 15)",0.3,1.46,0.5,0.3,4,15.214781,16.9615,1.746719,10.2981
1.25,tight,"(0, 3, 15)",0.3,1.46,0.4,0.2,5,34.963938,36.806588,1.84265,5.0063
1.25,tight,"(0, 3, 15)",0.3,1.46,0.6,0.35,3,6.343687,7.172819,0.829133,11.5594
1.25,tight,"(0, 3, 15)",0.3,2.0,0.5,0.3,4,14.052294,15.605878,1.553584,9.9551
1.25,tight,"(0, 3, 15)",0.3,2.0,0.4,0.2,5,29.563052,31.138434,1.575382,5.0593
1.25,tight,"(0, 3, 15)",0.3,2.0,0.6,0.35,3,6.304297,7.141262,0.836966,11.7201
1.25,tight,"(0, 3, 15)",0.3,3.0,0.5,0.3,4,11.824643,13.051106,1.226463,9.3974
1.25,tight,"(0, 3, 15)",0.3,3.0,0.4,0.2,5,21.857896,23.619458,1.761561,7.4581
1.25,tight,"(0, 3, 15)",0.3,3.0,0.6,0.35,3,6.232141,7.083426,0.851284,12.018
1.25,tight,"(0, 1, 5)",0.1,1.0,0.5,0.3,4,2.599047,3.215625,0.616578,19.1744
1.25,tight,"(0, 1, 5)",0.1,1.0,0.4,0.2,5,8.712939,9.411278,0.698339,7.4202
1.25,tight,"(0, 1, 5)",0.1,1.0,0.6,0.35,3,1.505773,1.526348,0.020575,1.348
1.25,tight,"(0, 1, 5)",0.1,1.46,0.5,0.3,4,2.418712,3.089159,0.670446,21.7032
1.25,tight,"(0, 1, 5)",0.1,1.46,0.4,0.2,5,7.623837,8.190934,0.567097,6.9235
1.25,tight,"(0, 1, 5)",0.1,1.46,0.6,0.35,3,1.501224,1.521939,0.020715,1.3611
1.25,tight,"(0, 1, 5)",0.1,2.0,0.5,0.3,4,2.191916,2.800293,0.608378,21.7255
1.25,tight,"(0, 1, 5)",0.1,2.0,0.4,0.2,5,5.519177,6.203635,0.684458,11.0332
1.25,tight,"(0, 1, 5)",0.1,2.0,0.6,0.35,3,1.491289,1.51231,0.021021,1.39
1.25,tight,"(0, 1, 5)",0.1,3.0,0.5,0.3,4,1.809339,2.244139,0.4348,19.3749
1.25,tight,"(0, 1, 5)",0.1,3.0,0.4,0.2,5,3.598165,4.049523,0.451358,11.146
1.25,tight,"(0, 1, 5)",0.1,3.0,0.6,0.35,3,1.473065,1.494645,0.02158,1.4438
1.25,tight,"(0, 1, 5)",0.2,1.0,0.5,0.3,4,4.367361,4.785253,0.417892,8.7329
1.25,tight,"(0, 1, 5)",0.2,1.0,0.4,0.2,5,10.878172,11.39795,0.519778,4.5603
1.25,tight,"(0, 1, 5)",0.2,1.0,0.6,0.35,3,1.752886,2.093637,0.340751,16.2755
1.25,tight,"(0, 1, 5)",0.2,1.46,0.5,0.3,4,4.107391,4.48075,0.373359,8.3325
1.25,tight,"(0, 1, 5)",0.2,1.46,0.4,0.2,5,9.748022,10.429451,0.68143,6.5337
1.25,tight,"(0, 1, 5)",0.2,1.46,0.6,0.35,3,1.750612,2.08641,0.335798,16.0945
1.25,tight,"(0, 1, 5)",0.2,2.0,0.5,0.3,4,3.535304,3.925961,0.390657,9.9506
1.25,tight,"(0, 1, 5)",0.2,2.0,0.4,0.2,5,8.053374,8.698135,0.64476,7.4126
